# Aozora Bunko 外字注記辞書 — description → Unicode codepoint mapping.
#
# Source: kurema/AozoraGaijiChukiXml (CC0 1.0), an XML transcription of the
# official 青空文庫・外字注記辞書【第八版】 (PDF). Upstream URL:
#   https://github.com/kurema/AozoraGaijiChukiXml/blob/master/data/Chuki.xml
# License: CC0 1.0 Universal (Public Domain Dedication).
#
# Filtering applied during extraction:
#  * exactly 1 Unicode codepoint per entry (multi-codepoint forms dropped)
#  * surrounding 「」 stripped from descriptions
#  * XML entities (&lt;, &gt;, &amp;) decoded
#  * first-wins on duplicate descriptions
#
# Format: description<TAB>codepoint_hex
# Regenerate from upstream: see extract_aozora_gaiji.sh in this directory.
尓－小	20089
朽のつくり	4E02
ぼう／一	4E04
一／ぼう	4E05
勹＜一	2F828
一／力	4E14
鼾のへん－自－田	4E0C
鼾のへん－自－田」の「一」に代えて「二	101277
丈＋一の右上に丶	2000B
眄のつくり	4E0F
刃／一	4E12
卅」にさらに縦棒を一本付け加える	534C
三／二	4E8C
七／（七＋七）	3402
匕／（匕＋匕）	3402
王／厶	4E1F
柳の本字」のつくり	4E23
丙」の「人」に代えて「从	4E24
十－一	4E28
収－又	4E29
Ｙ」に似た字	4E2B
蚌のつくり	4E30
挈－刀－手	4E2F
虱」の「丿／虫」に代えて「舉－與	4E2E
叢－取	4E35
麈－鹿	4E3B
乂－丿	4E40
迅－しんにょう－十	4E41
〆の続いてる部分をとったもの	4E44
托のつくり	4E47
公の右上の欠けたもの	4E48
派のつくり	200A2
衆－血	4E51
殷のへん	3406
師のへん	200A4
昔」の「日」に代えて「丿	5171
礼のつくり	4E5A
也－ぼう	4E5C
力＋礼のつくり	529C
幺＋礼のつくり	4E63
土へん＋礼のつくり	5720
戸の旧字＋乙	6239
示＋礼のつくり	FA18
占＋礼のつくり	4E69
台＋礼のつくり	4E68
耳＋礼のつくり	8034
自＋礼のつくり	81EB
郛のへん＋礼のつくり	4E73
折／乙	4E74
辛＋礼のつくり	4E75
朝のへん＋礼のつくり	4E79
金＋礼のつくり	91D3
金＋乙	91D4
孚＋礼のつくり」の「子」に代えて「糸	4E7F
鳥＋乙	9CE6
齒＋礼のつくり	9F53
行のつくり	4E8D
研のつくり	5F00
二／二	4E96
山／二	4E97
大／二	5933
二／心	5FC8
參」の「珍のつくり」に代えて「二	4E9D
二／（勹＜方）	3AC4
氓のへん	4EA1
皎のつくり	4EA4
流のつくり	342C
亠／兌	5157
京」の「小」に代えて「日	4EAF
田＋十＋畝のつくり	755E
亠／（田＋畝のつくり）	755D
亠／口／田	7557
滴のつくり	5547
璃のつくり	79BB
亠／舛／木	6909
譲のつくり	342E
羸」の「羊」に代えて「女	5B34
羸」の「羊」に代えて「虫	8803
鶉のへん＋單	56B2
羸」の「羊」に代えて「果	81DD
亠／興」の「具－目」に代えて「冖／且	4EB9
雍／（餮－殄）	9954
羸」の「羊」に代えて「馬	9A58
羸」の「羊」に代えて「鳥	1034BE
にんべん	4EBB
人がしら	201A2
人がしら／一	4EBC
訛－言	5316
にんべん＋丁	4EC3
にんべん＋八	4EC8
人がしら／十	4ED0
にんべん＋乞	4EE1
人がしら／小	5C12
にんべん＋公の右上の欠けたもの	4EEB
人がしら／山	4EDA
にんべん＋托のつくり	4EDB
にんべん＋干	4EE0
にんべん＋勺	4EE2
にんべん＋三	4EE8
珍のつくり	105832
にんべん＋扮のつくり	4EFD
にんべん＋方	4EFF
にんべん＋予	4F03
にんべん＋（岌－山）	4F0B
にんべん＋今	4EF1
にんべん＋午	4EF5
にんべん＋蚣のつくり	4F00
にんべん＋友	4F16
にんべん＋少	4EEF
にんべん＋比	4EF3
にんべん＋互	4EFE
にんべん＋市	4F02
にんべん＋心	4F08
にんべん＋厄	4F0C
にんべん＋斤	4F12
にんべん＋夫	4F15
人がしら／从	4F17
にんべん＋火	4F19
にんべん＋王	4EFC
にんべん＋弖	7D76
にんべん＋（麈－鹿）	4F4F
にんべん＋絆のつくり	4F34
にんべん＋欠」の「人」に代えて「小	4F60
にんべん＋布	4F48
にんべん＋去	4F49
にんべん＋必	4F56
にんべん＋（鼕－鼓）	4F5F
にんべん＋瓶のつくり	4F64
にんべん＋由	4F37
にんべん＋丕	4F3E
にんべん＋占	4F54
人がしら／示	4F58
にんべん＋奴	4F2E
にんべん＋（人がしら／小）	4F31
にんべん＋世	4F33
にんべん＋駟のつくり	4F35
にんべん＋且	4F39
にんべん＋怦のつくり	4F3B
にんべん＋（官－宀）	4F40
にんべん＋正	4F42
にんべん＋召	4F4B
にんべん＋此	4F4C
にんべん＋央	4F52
にんべん＋用	4F63
にんべん＋玄	10182F
にんべん＋秬のつくり	6F45
にんべん＋回	4F6A
にんべん＋老	4F6C
にんべん＋（八がしら／月）	4F7E
にんべん＋光	4F8A
にんべん＋牟	4F94
にんべん＋同	4F97
にんべん＋両	20213
にんべん＋艮	4F77
にんべん＋舌	4F78
にんべん＋銓のつくり	4F7A
にんべん＋（咨－口）	4F7D
にんべん＋（广＋托のつくり）	4F82
にんべん＋亥	4F85
にんべん＋安	4F92
にんべん＋旬	4F9A
にんべん＋合	4F6E
合」の「口」に代えて「正	4F71
にんべん＋危	4F79
にんべん＋先	4F81
にんべん＋至	4F84
にんべん＋夸	4F89
陰のつくり	4F8C
にんべん＋米	4F8E
にんべん＋血	4F90
にんべん＋聿	4F93
にんべん＋式	4F99
にんべん＋如	4F9E
にんべん＋存	4F9F
にんべん＋曳	5E30
にんべん＋駸のつくり	4FB5
にんべん＋哽のつくり	4FBF
にんべん＋誨のつくり	FA30
にんべん＋夾	4FE0
にんべん＋吾	4FC9
にんべん＋寿	4FE6
にんべん＋辰	4FB2
にんべん＋孝	4FBE
にんべん＋求	4FC5
にんべん＋邑	4FCB
にんべん＋悄のつくり	4FCF
にんべん＋完	4FD2
畝のへん＋人	7552
にんべん＋局	4FB7
にんべん＋梃のつくり	4FB9
にんべん＋兌	4FBB
にんべん＋孛	4FBC
にんべん＋男	4FBD
にんべん＋綏のつくり	4FC0
にんべん＋蜈のつくり	4FC1
にんべん＋余	4FC6
にんべん＋晧のつくり	4FC8
にんべん＋甫	4FCC
にんべん＋良	4FCD
にんべん＋娉のつくり	4FDC
にんべん＋（攵／彡）	4FE2
にんべん＋卷	5026
にんべん＋惧のつくり	4FF1
にんべん＋餠のつくり	4F75
にんべん＋知	5001
にんべん＋典	500E
にんべん＋淌のつくり	5018
にんべん＋宗	5027
にんべん＋果	502E
にんべん＋英	5040
にんべん＋斉	346A
にんべん＋効	4FF2
にんべん＋長	5000
倏」の「犬」に代えて「火	5010
にんべん＋炎	5013
にんべん＋蜩のつくり	501C
にんべん＋京	501E
にんべん＋捷のつくり	5022
にんべん＋（口／矢）	3468
琴」の「今」に代えて「人	73E1
にんべん＋和	4FF0
にんべん＋育	4FFC
にんべん＋欣	4FFD
にんべん＋虎	4FFF
にんべん＋肴	5004
にんべん＋宛	5007
にんべん＋（蚣のつくり／心）	500A
にんべん＋官	500C
にんべん＋（萠－くさかんむり）	5017
にんべん＋其	501B
朝のへん＋人	501D
にんべん＋陵のつくり	5030
にんべん＋東	5032
にんべん＋事	5033
にんべん＋武	5035
にんべん＋戔	101C24
にんべん＋廴＋聿	5065
偏」の「戸」に代えて「戸の旧字	504F
候」の「ユ」に代えて「工	6790
にんべん＋耶	503B
俘」の「子」に代えて「冉の４画目左右に突き出る	5041
にんべん＋（剪－刀）	5042
にんべん＋春	5046
にんべん＋畏	504E
にんべん＋屋	5053
にんべん＋省	5057
にんべん＋音	5063
にんべん＋胥	5066
にんべん＋福のつくり	506A
にんべん＋挈」の「手」に代えて「大	5070
にんべん＋重	5045
にんべん＋禹	504A
にんべん＋若	504C
にんべん＋風	5051
にんべん＋昜	5052
にんべん＋帝	5059
にんべん＋皇	505F
にんべん＋（襾／女）	5060
にんべん＋秋	5062
にんべん＋（大／多）	5067
にんべん＋面	506D
にんべん＋盾	5071
にんべん＋待	101E49
にんべん＋丙／攴	4FAB
にんべん＋充」の「儿」に代えて「冉	4FAB
にんべん＋幃のつくり	72D7
